date;time;radiasi
01/01/2010;06:00:00;29.77
01/01/2010;07:00:00;220.42
01/01/2010;08:00:00;467.6
01/01/2010;09:00:00;682.42
01/01/2010;10:00:00;842.62
01/01/2010;11:00:00;937.45
01/01/2010;12:00:00;945.77
01/01/2010;13:00:00;892.85
01/01/2010;14:00:00;770.67
01/01/2010;15:00:00;586.73
01/01/2010;16:00:00;363.77
01/01/2010;17:00:00;132.5
02/01/2010;06:00:00;31.17
02/01/2010;07:00:00;229.35
02/01/2010;08:00:00;467.23
02/01/2010;09:00:00;677.4
02/01/2010;10:00:00;837.1
02/01/2010;11:00:00;930.5
02/01/2010;12:00:00;951.5
02/01/2010;13:00:00;898.0
02/01/2010;14:00:00;773.4
02/01/2010;15:00:00;588.48
02/01/2010;16:00:00;362.25
02/01/2010;17:00:00;129.38
03/01/2010;06:00:00;30.3
03/01/2010;07:00:00;225.8
03/01/2010;08:00:00;452.25
03/01/2010;09:00:00;669.85
03/01/2010;10:00:00;839.25
03/01/2010;11:00:00;934.95
03/01/2010;12:00:00;935.1
03/01/2010;13:00:00;878.33
03/01/2010;14:00:00;750.58
03/01/2010;15:00:00;564.65
03/01/2010;16:00:00;343.42
03/01/2010;17:00:00;122.77
04/01/2010;06:00:00;28.65
04/01/2010;07:00:00;219.42
04/01/2010;08:00:00;443.05
04/01/2010;09:00:00;651.75
04/01/2010;10:00:00;832.55
04/01/2010;11:00:00;932.38
04/01/2010;12:00:00;948.12
04/01/2010;13:00:00;895.5
04/01/2010;14:00:00;768.88
04/01/2010;15:00:00;581.58
04/01/2010;16:00:00;354.6
04/01/2010;17:00:00;125.42
05/01/2010;06:00:00;27.35
05/01/2010;07:00:00;212.6
05/01/2010;08:00:00;442.42
05/01/2010;09:00:00;654.58
05/01/2010;10:00:00;816.77
05/01/2010;11:00:00;912.65
05/01/2010;12:00:00;934.0
05/01/2010;13:00:00;882.45
05/01/2010;14:00:00;762.08
05/01/2010;15:00:00;580.95
05/01/2010;16:00:00;361.4
05/01/2010;17:00:00;130.67
06/01/2010;06:00:00;26.65
06/01/2010;07:00:00;215.15
06/01/2010;08:00:00;448.15
06/01/2010;09:00:00;658.77
06/01/2010;10:00:00;831.52
06/01/2010;11:00:00;932.38
06/01/2010;12:00:00;938.75
06/01/2010;13:00:00;886.48
06/01/2010;14:00:00;762.45
06/01/2010;15:00:00;578.05
06/01/2010;16:00:00;351.7
06/01/2010;17:00:00;125.7
07/01/2010;06:00:00;23.02
07/01/2010;07:00:00;195.98
07/01/2010;08:00:00;416.42
07/01/2010;09:00:00;625.95
07/01/2010;10:00:00;797.12
07/01/2010;11:00:00;919.92
07/01/2010;12:00:00;934.1
07/01/2010;13:00:00;881.85
07/01/2010;14:00:00;757.48
07/01/2010;15:00:00;573.38
07/01/2010;16:00:00;348.4
07/01/2010;17:00:00;125.1
08/01/2010;06:00:00;21.85
08/01/2010;07:00:00;182.33
08/01/2010;08:00:00;412.83
08/01/2010;09:00:00;618.77
08/01/2010;10:00:00;786.88
08/01/2010;11:00:00;898.35
08/01/2010;12:00:00;943.42
08/01/2010;13:00:00;885.95
08/01/2010;14:00:00;756.85
08/01/2010;15:00:00;568.38
08/01/2010;16:00:00;346.3
08/01/2010;17:00:00;125.45
09/01/2010;06:00:00;19.42
09/01/2010;07:00:00;161.42
09/01/2010;08:00:00;380.55
09/01/2010;09:00:00;602.23
09/01/2010;10:00:00;775.48
09/01/2010;11:00:00;881.27
09/01/2010;12:00:00;909.35
09/01/2010;13:00:00;861.7
09/01/2010;14:00:00;740.23
09/01/2010;15:00:00;556.7
09/01/2010;16:00:00;343.85
09/01/2010;17:00:00;126.85
10/01/2010;06:00:00;22.38
10/01/2010;07:00:00;194.02
10/01/2010;08:00:00;424.92
10/01/2010;09:00:00;647.42
10/01/2010;10:00:00;822.75
10/01/2010;11:00:00;924.15
10/01/2010;12:00:00;897.95
10/01/2010;13:00:00;850.33
10/01/2010;14:00:00;727.92
10/01/2010;15:00:00;546.9
10/01/2010;16:00:00;328.92
10/01/2010;17:00:00;117.45
11/01/2010;06:00:00;20.45
11/01/2010;07:00:00;189.55
11/01/2010;08:00:00;420.88
11/01/2010;09:00:00;640.62
11/01/2010;10:00:00;809.65
11/01/2010;11:00:00;910.4
11/01/2010;12:00:00;938.27
11/01/2010;13:00:00;886.4
11/01/2010;14:00:00;759.23
11/01/2010;15:00:00;579.75
11/01/2010;16:00:00;358.35
11/01/2010;17:00:00;132.1
12/01/2010;06:00:00;21.48
12/01/2010;07:00:00;199.52
12/01/2010;08:00:00;436.8
12/01/2010;09:00:00;651.0
12/01/2010;10:00:00;814.27
12/01/2010;11:00:00;927.5
12/01/2010;12:00:00;947.15
12/01/2010;13:00:00;895.8
12/01/2010;14:00:00;771.83
